booking_id,passenger_id,flight_id,seat_number,ticket_price,booking_date
5001,1259,535,152,14666,2024-02-11
5002,1292,286,63,5831,2024-06-28
5003,1143,934,81,12110,2024-04-25
5004,1747,1075,8,9344,2024-01-04
5005,1627,624,173,7171,2024-01-04
5006,1090,813,27,2078,2024-01-05
5007,1720,938,52,6929,2024-02-10
5008,2188,564,146,5647,2024-04-17
5009,1481,260,91,3031,2024-03-27
5010,1084,682,86,9381,2024-04-13
5011,2101,450,16,4072,2024-04-26
5012,1673,760,66,14737,2024-04-10
5013,1517,317,5,8911,2024-03-15
5014,1485,939,82,8088,2024-03-15
5015,1782,1074,131,3484,2024-01-13
5016,1104,1115,118,12437,2024-05-21
5017,1339,1168,81,7838,2024-01-25
5018,1687,1199,70,3550,2024-04-24
5019,1900,745,115,14977,2024-06-20
5020,1607,244,7,7497,2024-03-22
5021,1223,709,50,6682,2024-01-10
5022,2033,1188,142,3829,2024-02-19
5023,2077,365,166,5751,2024-06-20
5024,2101,568,111,8081,2024-05-21
5025,1503,1057,47,14914,2024-01-15
5026,1822,492,112,12223,2024-01-16
5027,1624,1049,161,8601,2024-01-02
5028,1165,1056,43,6459,2024-06-06
5029,2051,1117,91,5856,2024-01-30
5030,2094,1098,29,12374,2024-03-22
5031,2148,999,128,14661,2024-01-31
5032,1019,1076,133,8182,2024-03-17
5033,2046,937,96,8083,2024-05-27
5034,1989,486,117,9970,2024-06-25
5035,1450,404,70,4094,2024-04-23
5036,1552,884,130,14095,2024-02-04
5037,2072,724,70,8238,2024-01-23
5038,1695,1019,110,5032,2024-04-15
5039,1587,321,171,3548,2024-04-06
5040,1721,1145,132,10559,2024-04-24
5041,1107,956,56,2064,2024-04-09
5042,1776,864,89,5299,2024-02-24
5043,2110,864,137,6849,2024-01-08
5044,2161,388,131,7639,2024-06-16
5045,1898,1107,176,4035,2024-02-28
5046,1336,213,171,13055,2024-05-07
5047,1607,803,100,12068,2024-02-01
5048,1838,400,129,7674,2024-04-02
5049,1602,786,57,4228,2024-01-07
5050,1403,968,144,7620,2024-01-02
5051,1540,656,51,2596,2024-03-25
5052,2096,648,112,5606,2024-05-13
5053,1024,988,104,12866,2024-04-15
5054,1624,1040,127,5889,2024-02-05
5055,2080,1041,55,5506,2024-06-08
5056,1986,271,1,12026,2024-02-14
5057,1223,790,90,3395,2024-02-11
5058,1179,996,156,11778,2024-02-22
5059,1800,330,53,9529,2024-04-19
5060,1434,1089,73,10303,2024-01-09
5061,1793,243,108,2452,2024-03-27
5062,1884,720,150,12995,2024-04-23
5063,1492,213,8,9336,2024-03-15
5064,1810,925,177,4631,2024-06-25
5065,1961,823,42,4186,2024-05-09
5066,1420,1188,155,7967,2024-01-11
5067,1649,1003,167,8374,2024-02-19
5068,2188,735,25,7358,2024-06-11
5069,1476,502,38,6348,2024-05-01
5070,1170,966,85,12196,2024-05-22
5071,1174,727,152,3459,2024-03-15
5072,1470,842,24,3942,2024-01-31
5073,1345,773,60,13685,2024-04-01
5074,1445,315,178,7422,2024-06-04
5075,2042,660,111,12049,2024-06-01
5076,2094,1032,66,7196,2024-04-01
5077,1628,705,142,2061,2024-06-01
5078,1592,508,53,3494,2024-03-15
5079,1527,1132,160,3180,2024-04-01
5080,1456,1163,106,8268,2024-05-08
5081,1811,525,96,4788,2024-02-11
5082,1188,779,176,12067,2024-04-19
5083,2021,961,39,12400,2024-06-10
5084,1711,375,168,6636,2024-01-18
5085,1529,1051,42,6721,2024-03-17
5086,1434,714,111,7710,2024-05-12
