flight_id,airline,source_city,destination_city,departure_hour,duration_hours,total_seats
201,SpiceJet,Kolkata,Mumbai,3,2,133
202,Air India,Hyderabad,Chennai,19,1,153
203,SpiceJet,Chennai,Chennai,20,2,168
204,Indigo,Pune,Kolkata,17,4,173
205,Vistara,Chennai,Chennai,17,4,150
206,Vistara,Mumbai,Bangalore,15,2,177
207,Indigo,Delhi,Mumbai,8,2,161
208,Air India,Kolkata,Pune,17,3,177
209,Indigo,Mumbai,Mumbai,21,4,149
210,SpiceJet,Kolkata,Bangalore,1,4,144
211,Indigo,Mumbai,Kolkata,20,3,182
212,Indigo,Mumbai,Kolkata,3,4,138
213,Air India,Ahmedabad,Delhi,11,2,191
214,SpiceJet,Bangalore,Mumbai,6,1,127
215,Akasa Air,Bangalore,Ahmedabad,14,1,122
216,Akasa Air,Hyderabad,Ahmedabad,6,4,186
217,Vistara,Delhi,Kolkata,21,3,136
218,Indigo,Pune,Chennai,20,2,133
219,Vistara,Pune,Kolkata,16,1,128
220,Air India,Pune,Kolkata,15,2,181
221,Akasa Air,Ahmedabad,Kolkata,18,4,140
222,Indigo,Mumbai,Kolkata,8,4,195
223,Air India,Bangalore,Ahmedabad,13,1,156
224,Air India,Delhi,Ahmedabad,16,4,130
225,Indigo,Mumbai,Pune,4,3,139
226,Air India,Kolkata,Pune,1,4,154
227,Indigo,Bangalore,Delhi,19,4,172
228,Indigo,Bangalore,Kolkata,15,4,166
229,SpiceJet,Chennai,Ahmedabad,13,2,194
230,Vistara,Chennai,Mumbai,13,2,171
231,Air India,Ahmedabad,Bangalore,0,1,127
232,Air India,Delhi,Delhi,2,1,123
233,SpiceJet,Kolkata,Ahmedabad,6,1,146
234,SpiceJet,Delhi,Mumbai,14,4,163
235,SpiceJet,Delhi,Kolkata,18,2,159
236,Akasa Air,Ahmedabad,Hyderabad,19,3,166
237,Akasa Air,Ahmedabad,Kolkata,1,4,163
238,Akasa Air,Mumbai,Pune,18,4,167
239,Indigo,Hyderabad,Bangalore,8,4,171
240,Air India,Ahmedabad,Ahmedabad,18,3,187
241,Vistara,Delhi,Ahmedabad,4,1,130
242,Indigo,Chennai,Chennai,17,3,196
243,Air India,Hyderabad,Bangalore,15,1,192
244,Air India,Mumbai,Chennai,3,3,123
245,SpiceJet,Hyderabad,Bangalore,11,2,195
246,SpiceJet,Pune,Pune,6,4,192
247,Indigo,Kolkata,Chennai,13,4,196
248,SpiceJet,Hyderabad,Mumbai,22,4,167
249,Air India,Delhi,Chennai,11,1,145
250,SpiceJet,Mumbai,Delhi,2,3,196
251,Akasa Air,Kolkata,Mumbai,4,2,158
252,SpiceJet,Delhi,Delhi,16,3,177
253,Air India,Kolkata,Kolkata,9,4,138
254,Indigo,Chennai,Bangalore,9,2,196
255,Vistara,Pune,Mumbai,10,2,196
256,SpiceJet,Chennai,Bangalore,16,4,177
257,Air India,Delhi,Kolkata,4,3,147
258,Vistara,Delhi,Hyderabad,12,4,185
259,Vistara,Delhi,Ahmedabad,9,3,129
260,Akasa Air,Bangalore,Bangalore,8,2,196
261,Vistara,Pune,Kolkata,16,2,177
262,Air India,Kolkata,Bangalore,0,4,192
263,Air India,Ahmedabad,Kolkata,3,2,133
264,SpiceJet,Delhi,Delhi,3,1,134
265,SpiceJet,Delhi,Kolkata,17,2,152
266,SpiceJet,Kolkata,Chennai,8,1,136
267,Vistara,Ahmedabad,Hyderabad,17,2,143
268,Vistara,Chennai,Bangalore,13,4,149
269,Akasa Air,Chennai,Kolkata,14,4,181
270,SpiceJet,Delhi,Kolkata,5,1,132
271,Indigo,Mumbai,Bangalore,23,4,181
272,Akasa Air,Bangalore,Ahmedabad,9,2,166
273,Indigo,Chennai,Hyderabad,14,2,135
274,Vistara,Mumbai,Hyderabad,3,4,185
275,Akasa Air,Bangalore,Kolkata,17,2,162
276,Akasa Air,Delhi,Mumbai,17,3,127
277,Air India,Pune,Delhi,16,3,122
278,Vistara,Hyderabad,Hyderabad,11,2,131
279,Vistara,Hyderabad,Hyderabad,6,4,135
280,Akasa Air,Delhi,Pune,15,1,197
281,Vistara,Chennai,Chennai,10,4,199
282,Akasa Air,Mumbai,Hyderabad,13,1,178
283,Air India,Pune,Delhi,2,4,168
284,Akasa Air,Kolkata,Chennai,18,2,182
285,Vistara,Bangalore,Chennai,17,3,181
286,Vistara,Delhi,Bangalore,9,4,168
287,Akasa Air,Pune,Bangalore,5,1,170
288,Akasa Air,Ahmedabad,Bangalore,12,3,152
289,Akasa Air,Pune,Bangalore,9,1,149
290,SpiceJet,Chennai,Pune,17,2,178
291,Vistara,Ahmedabad,Hyderabad,19,3,195
292,Vistara,Bangalore,Bangalore,15,1,134
293,SpiceJet,Ahmedabad,Kolkata,5,4,142
294,Akasa Air,Pune,Mumbai,12,2,197
295,Air India,Chennai,Bangalore,3,2,164
296,Akasa Air,Ahmedabad,Hyderabad,22,2,181
297,Akasa Air,Mumbai,Bangalore,13,4,198
298,SpiceJet,Chennai,Pune,0,4,190
299,Vistara,Mumbai,Delhi,19,3,134
300,Akasa Air,Mumbai,Delhi,4,4,165
301,Vistara,Ahmedabad,Hyderabad,7,3,183
302,Indigo,Ahmedabad,Kolkata,11,2,165
303,Vistara,Kolkata,Delhi,1,3,175
304,Air India,Kolkata,Ahmedabad,11,1,163
305,Air India,Pune,Delhi,4,2,194
306,Akasa Air,Chennai,Mumbai,21,2,148
307,Vistara,Kolkata,Hyderabad,4,3,181
308,Akasa Air,Mumbai,Kolkata,12,2,171
309,SpiceJet,Kolkata,Hyderabad,8,4,173
310,Air India,Bangalore,Delhi,9,1,176
311,Akasa Air,Pune,Delhi,0,3,185
312,SpiceJet,Chennai,Delhi,2,3,141
313,Akasa Air,Chennai,Chennai,17,2,139
314,Vistara,Hyderabad,Pune,11,4,152
315,Vistara,Chennai,Bangalore,2,2,191
316,Vistara,Pune,Ahmedabad,8,2,144
317,Vistara,Bangalore,Pune,1,3,165
318,Indigo,Chennai,Hyderabad,2,2,192
319,SpiceJet,Hyderabad,Ahmedabad,13,1,176
320,SpiceJet,Pune,Mumbai,3,2,124
321,Vistara,Mumbai,Bangalore,18,2,174
322,Indigo,Delhi,Mumbai,12,3,180
323,Vistara,Delhi,Kolkata,6,2,127
324,Indigo,Mumbai,Chennai,11,4,135
325,Vistara,Kolkata,Hyderabad,2,3,167
326,Air India,Chennai,Chennai,22,2,180
327,Air India,Ahmedabad,Hyderabad,22,1,134
328,Akasa Air,Delhi,Mumbai,8,1,184
329,Vistara,Kolkata,Mumbai,1,3,141
330,SpiceJet,Delhi,Mumbai,21,3,122
331,Akasa Air,Mumbai,Hyderabad,8,2,173
332,Air India,Chennai,Delhi,11,4,133
333,Vistara,Chennai,Mumbai,11,2,155
334,Akasa Air,Kolkata,Chennai,14,1,186
335,Vistara,Mumbai,Kolkata,1,4,129
336,Air India,Kolkata,Bangalore,17,4,168
337,Akasa Air,Chennai,Hyderabad,12,4,184
338,Air India,Ahmedabad,Ahmedabad,13,2,176
339,Indigo,Chennai,Chennai,4,1,146
340,Air India,Pune,Pune,9,3,194
341,Vistara,Ahmedabad,Kolkata,11,2,124
342,SpiceJet,Kolkata,Pune,9,3,190
343,Air India,Pune,Bangalore,23,4,176
344,SpiceJet,Mumbai,Delhi,10,4,134
345,Indigo,Bangalore,Mumbai,1,2,195
346,Akasa Air,Delhi,Hyderabad,4,1,149
347,Akasa Air,Pune,Chennai,6,4,139
